_,_,util
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
59,1168,57.03
60,1215,59.33
61,1196,58.40
62,1176,57.42
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
61,1178,57.52
62,1176,57.42
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
1,1387,67.72
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
1,1252,61.13
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
1,1126,54.98
2,1372,66.99
3,1423,69.48
4,1434,70.02
5,1600,78.12
6,0,0.00
7,0,0.00
8,0,0.00
1,1045,51.03
2,1210,59.08
3,1279,62.45
4,1316,64.26
5,1438,70.21
6,0,0.00
7,0,0.00
8,0,0.00
3,1279,62.45
4,1297,63.33
5,1429,69.78
6,0,0.00
7,0,0.00
8,0,0.00
9,0,0.00
10,0,0.00
5,1420,69.34
6,0,0.00
7,0,0.00
8,0,0.00
9,0,0.00
10,0,0.00
11,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
9,0,0.00
10,0,0.00
11,0,0.00
12,0,0.00
6,1188,58.01
7,1540,75.20
8,1832,89.45
9,1733,84.62
10,1759,85.89
11,0,0.00
12,0,0.00
7,1529,74.66
8,1814,88.57
9,1704,83.20
10,1744,85.16
11,0,0.00
12,0,0.00
13,0,0.00
7,1403,68.51
8,1634,79.79
9,1504,73.44
10,1572,76.76
11,0,0.00
12,0,0.00
13,0,0.00
7,1241,60.60
8,1481,72.31
9,1369,66.85
10,1400,68.36
11,1608,78.52
12,0,0.00
13,0,0.00
14,0,0.00
7,1106,54.00
8,1337,65.28
9,1228,59.96
10,1307,63.82
11,1458,71.19
12,0,0.00
13,0,0.00
14,0,0.00
9,1219,59.52
10,1306,63.77
11,1445,70.56
12,0,0.00
13,0,0.00
14,0,0.00
15,0,0.00
16,0,0.00
11,1435,70.07
12,0,0.00
13,0,0.00
14,0,0.00
15,0,0.00
16,0,0.00
17,0,0.00
